Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Carter, W.D., Luis Aguirre Le, B.","57213465977;55599646000;","Structural geology of aconcagua province and its relationship to the central Valley Graben, Chile",1965,"Bulletin of the Geological Society of America","76","6",,"651","664",,15,"10.1130/0016-7606(1965)76[651:SGOAPA]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20044394334&doi=10.1130%2f0016-7606%281965%2976%5b651%3aSGOAPA%5d2.0.CO%3b2&partnerID=40&md5=f415d5458d2a962768ce895d2197a557",Article,"Final","",Scopus,2-s2.0-20044394334
"Forest, H.S., Weston, C.R.","24826468500;57190907148;","BLUE‐GREEN ALGAE FROM THE ATACAMA DESERT OF NORTHERN CHILE",1966,"Journal of Phycology","2","4",,"163","164",,18,"10.1111/j.1529-8817.1966.tb04617.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984082147&doi=10.1111%2fj.1529-8817.1966.tb04617.x&partnerID=40&md5=59fbe8d265bde1bfbb68d3ba95879613",Article,"Final","",Scopus,2-s2.0-84984082147
"Cabré, R., Hart, P.J.","57190329597;56268538600;","Upper Mantle Project: Andean Geophysical Program",1966,"Eos, Transactions American Geophysical Union","47","4",,"569","571",,,"10.1029/TR047i004p00569","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979182894&doi=10.1029%2fTR047i004p00569&partnerID=40&md5=9b949ab230d7f0cf86415bcd8af9e259",Article,"Final","",Scopus,2-s2.0-84979182894
"Matson, G.A., Swanson, J., Robinson, A.","7006607163;7202880397;7403386405;","Distribution of hereditary blood groups among Indians in South America. III. In Bolivia",1966,"American Journal of Physical Anthropology","25","1",,"13","33",,19,"10.1002/ajpa.1330250104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0013926576&doi=10.1002%2fajpa.1330250104&partnerID=40&md5=375a949946bbea832d9ce661fc1e4aa2",Article,"Final","",Scopus,2-s2.0-0013926576
[No author name available],[No author id available],"76. Alexander Kohler: Beiträge zur Kenntnis der ephemeren Vegetation am Südrand der Atacama‐Wüste (Chile",1967,"Berichte der Deutschen Botanischen Gesellschaft","80","9",,"563","572",,1,"10.1111/j.1438-8677.1968.tb02666.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876196017&doi=10.1111%2fj.1438-8677.1968.tb02666.x&partnerID=40&md5=27e3d2cd1a6453d6f230fb9f2bf1257b",Article,"Final","",Scopus,2-s2.0-84876196017
"Opfell, J.B., Zebal, G.P.","6507681011;6505512530;","Ecological patterns of micro-organisms in desert soils.",1967,"Life sciences and space research","5",,,"187","203",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014190323&partnerID=40&md5=3ba84fc9171996f41beb086ab520012a",Article,"Final","",Scopus,2-s2.0-0014190323
"Devoto, F.C.H., Arias, N.H.","7003678750;6603941754;","Shovel-Shaped Incisors in Early Atacama Indians",1967,"Journal of Dental Research","46","6",,"1478","",,4,"10.1177/00220345670460066201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014150654&doi=10.1177%2f00220345670460066201&partnerID=40&md5=8f01e7f36c1b9cc68877504221b9c474",Article,"Final","",Scopus,2-s2.0-0014150654
"Segerstrom, K.","6602734016;","Geology and ore deposits of central Atacama Province, Chile",1967,"Bulletin of the Geological Society of America","78","3",,"305","318",,13,"10.1130/0016-7606(1967)78[305:GAODOC]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003565964&doi=10.1130%2f0016-7606%281967%2978%5b305%3aGAODOC%5d2.0.CO%3b2&partnerID=40&md5=da8ce51141a023c4047f9abcc1333eb6",Article,"Final","",Scopus,2-s2.0-0003565964
"Ahlfeld, F.","55340573600;","Metallogenetic epochs and provinces of Bolivia - The tin-province (part I) The metallogenetic provinces of the altiplano (part II)",1967,"Mineralium Deposita","2","4",,"291","311",,26,"10.1007/BF00207022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250501337&doi=10.1007%2fBF00207022&partnerID=40&md5=deb9c89015cf1120701b1e1a515950c6",Article,"Final","",Scopus,2-s2.0-34250501337
"Clark, A.H., Mayer, A.E.S., Mortimer, C., Sillitoe, R.H., Cooke, R.U., Snelling, N.J.","13302632500;23054794800;7005009711;7006134084;7402645420;6602525853;","Implications of the isotopic ages of ignimbrite flows, southern Atacama Desert, Chile [5]",1967,"Nature","215","5102",,"723","724",,45,"10.1038/215723a0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000625624&doi=10.1038%2f215723a0&partnerID=40&md5=2f2ee278656f20850923ccbca76e4e21",Letter,"Final","",Scopus,2-s2.0-0000625624
"Hollingworth, S.E., Rutland, R.W.R.","48861353100;6602743906;","Studies of andean uplift part I‐post‐cretaceous evolution of the San Bartolo Area, North Chile",1968,"Geological Journal","6","1",,"49","62",,28,"10.1002/gj.3350060106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977252714&doi=10.1002%2fgj.3350060106&partnerID=40&md5=aaf558229c93899a15f017e56e3bb931",Article,"Final","",Scopus,2-s2.0-84977252714
"Benavides, V.","55780947200;","Saline deposits of South America",1968,"Special Paper of the Geological Society of America","88",,,"249","290",,28,"10.1130/SPE88-p249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879677877&doi=10.1130%2fSPE88-p249&partnerID=40&md5=c8930f71cf1a251e0d0a995b5b362cda",Article,"Final","",Scopus,2-s2.0-84879677877
"Guest, J.E.","7102472045;","Upper tertiary ignimbrites in the andean cordillera of part of the antofagasta province, northern chile",1969,"Bulletin of the Geological Society of America","80","3",,"337","362",,61,"10.1130/0016-7606(1969)80[337:UTIITA]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014479381&doi=10.1130%2f0016-7606%281969%2980%5b337%3aUTIITA%5d2.0.CO%3b2&partnerID=40&md5=ec41bb9e09858cd4dd5ccb0ce7f52325",Article,"Final","",Scopus,2-s2.0-0014479381
"Gade, D.W.","6701760173;","Ethnobotany of cañihua (Chenopodium pallidicaule), rustic seed crop of the Altiplano",1970,"Economic Botany","24","1",,"55","61",,32,"10.1007/BF02860637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039784857&doi=10.1007%2fBF02860637&partnerID=40&md5=902a284dfe973b50b1415f7cee96846b",Article,"Final","",Scopus,2-s2.0-0039784857
"Zaldívar, R.","7005215930;","Geographic pathology of oral, esophageal, gastric, and intestinal cancer in Chile",1970,"Zeitschrift für Krebsforschung","75","1",,"1","13",,18,"10.1007/BF00524739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014956856&doi=10.1007%2fBF00524739&partnerID=40&md5=794654f23ae5d5c96c5ad4c559d3858b",Article,"Final","",Scopus,2-s2.0-0014956856
"Turner, J.C.M.","7404249619;","The andes of northwestern Argentina",1970,"Geologische Rundschau","59","3",,"1028","1063",,48,"10.1007/BF02042283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005653029&doi=10.1007%2fBF02042283&partnerID=40&md5=d172b2a8f478a68b75b15c9dc044c447",Article,"Final","",Scopus,2-s2.0-0005653029
"Coney, P.J.","7003360792;","Structural evolution of the Cordillera Huayhuash, Andes of Peru",1971,"Bulletin of the Geological Society of America","82","7",,"1863","1884",,11,"10.1130/0016-7606(1971)82[1863:SEOTCH]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-5744226715&doi=10.1130%2f0016-7606%281971%2982%5b1863%3aSEOTCH%5d2.0.CO%3b2&partnerID=40&md5=741d09ee7654db1613c4146fb7c5f306",Article,"Final","",Scopus,2-s2.0-5744226715
"Ocola, L.C., Meyer, R.P.","24574461900;7404078363;","Crustal Low‐Velocity Zones Under the Peru‐Bolivia Altiplano",1972,"Geophysical Journal of the Royal Astronomical Society","30","2",,"199","209",,32,"10.1111/j.1365-246X.1972.tb02353.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984423739&doi=10.1111%2fj.1365-246X.1972.tb02353.x&partnerID=40&md5=9ef555ab2abd830a08cfd0eec47da0ee",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84984423739
"Vallee, L.","57190919297;","Cycle écologique et cycle rituel: le cas d'un village andin",1972,"Canadian Review of Sociology/Revue canadienne de sociologie","9","3",,"238","254",,2,"10.1111/j.1755-618X.1972.tb02394.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247963681&doi=10.1111%2fj.1755-618X.1972.tb02394.x&partnerID=40&md5=de242100b46826f92ed403cc8c9dedb2",Article,"Final","",Scopus,2-s2.0-34247963681
"Szekely, T.S., Grose, L.T.","55618195500;6603110332;","Stratigraphy of the carbonate, black shale, and phosphate of the Pucará group (Upper Triassic - Lower Jurassic), Central Andes, Peru",1972,"Bulletin of the Geological Society of America","83","2",,"407","428",,24,"10.1130/0016-7606(1972)83[407:SOTCBS]2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542598497&doi=10.1130%2f0016-7606%281972%2983%5b407%3aSOTCBS%5d2.0.CO%3b2&partnerID=40&md5=1b785c6fc53b1aac4cd5af85e6b7c5b8",Article,"Final","",Scopus,2-s2.0-1542598497
"Post, P.W., Donner, D.D.","36896537300;7005421108;","Frostbite in a pre‐Columbian mummy",1972,"American Journal of Physical Anthropology","37","2",,"187","191",,23,"10.1002/ajpa.1330370204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015392354&doi=10.1002%2fajpa.1330370204&partnerID=40&md5=7d0aa2d5cd26a86bc6c7cdcd4c796959",Article,"Final","",Scopus,2-s2.0-0015392354
"Gade, D.W.","6701760173;","Bridge Types In The Central Andes",1972,"Annals of the Association of American Geographers","62","1",,"94","109",,8,"10.1111/j.1467-8306.1972.tb00846.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954509229&doi=10.1111%2fj.1467-8306.1972.tb00846.x&partnerID=40&md5=252368481b716cd369c611e677f24b05",Article,"Final","",Scopus,2-s2.0-79954509229
"Ocola, L.C., Meyer, R.P.","24574461900;7404078363;","Crustal structure from the pacific basin to the Brazilian shield between 12° and 30° south latitude",1973,"Bulletin of the Geological Society of America","84","10",,"3387","3404",,14,"10.1130/0016-7606(1973)84<3387:CSFTPB>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041559509&doi=10.1130%2f0016-7606%281973%2984%3c3387%3aCSFTPB%3e2.0.CO%3b2&partnerID=40&md5=e60fb8d8c68f74c0b787381caf084848",Article,"Final","",Scopus,2-s2.0-0041559509
"Frick, G., Hirschmann, J.","7006736098;24564630400;","Theory and experience with solar stills in Chile",1973,"Solar Energy","14","4",,"405","412,IN1,413",,13,"10.1016/0038-092X(73)90018-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015603798&doi=10.1016%2f0038-092X%2873%2990018-2&partnerID=40&md5=1c09026d2f43ef9fcdb7ada76bd565cd",Article,"Final","",Scopus,2-s2.0-0015603798
"Case, J.E., Barnes, J., ParíS Q., G., GonzáLez I., H., ViñA, A.","7103347542;55620953600;55621027500;55620021800;55619610800;","Trans-andean geophysical profile, southern Colombia",1973,"Bulletin of the Geological Society of America","84","9",,"2895","2904",,37,"10.1130/0016-7606(1973)84<2895:TGPSC>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005170162&doi=10.1130%2f0016-7606%281973%2984%3c2895%3aTGPSC%3e2.0.CO%3b2&partnerID=40&md5=1aae46817c50aec247002ee88c9c1402",Article,"Final","",Scopus,2-s2.0-0005170162
"Hörmann, P.K., Pichler, H., Zeil, W.","16520139800;16537654300;56888010200;","New Data on the Young Volcanism in the Puna of NW-Argentina",1973,"Geologische Rundschau","62","2",,"397","418",,39,"10.1007/BF01840106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0005883064&doi=10.1007%2fBF01840106&partnerID=40&md5=07ebc1a957e667f1012db61ce8fff7d6",Article,"Final","",Scopus,2-s2.0-0005883064
"Fernández, A.C., Hörmann, P.K., Kussmaul, S., Meave, J., Pichler, H., Subieta, T.","55465508700;16520139800;16520729300;16521403200;16537654300;16522066500;","First petrologic data on young volcanic rocks of SW-Bolivia",1973,"TMPM Tschermaks Mineralogische und Petrographische Mitteilungen","19","3",,"149","172",,37,"10.1007/BF01167425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-7444267785&doi=10.1007%2fBF01167425&partnerID=40&md5=7eb5526db4f0822265e74f236424ddb8",Article,"Final","",Scopus,2-s2.0-7444267785
"Gansser, A.","6506948083;","Facts and theories on the andes",1973,"Journal of the Geological Society","129","2",,"93","131",,158,"10.1144/gsjgs.129.2.0093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051929325&doi=10.1144%2fgsjgs.129.2.0093&partnerID=40&md5=20a92f3dc851373dece1b48507afbf46",Article,"Final","",Scopus,2-s2.0-80051929325
"Ueno, H., Morales, G.L.","7401546262;7102711680;","Fasciolicidal activity of diamphenethide and niclofolan against Fasciola hepatica in sheep in the Altiplano Region of Bolivia",1973,"National Institute of Animal Health Quarterly","13","2",,"75","79",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015909284&partnerID=40&md5=f0c8f0c5cbf6a5163ef5285ca439b195",Article,"Final","",Scopus,2-s2.0-0015909284
"Walton, B.C., Valverde Chinel, L., Eguia Eguia, Y.O.","7005116408;6504726807;6505542733;","Onset of espundia after many years of occult infection with Leishmania braziliensis",1973,"American Journal of Tropical Medicine and Hygiene","22","6",,"","",,49,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015899810&partnerID=40&md5=f128b747f5cc4b5635c11191073350b6",Article,"Final","",Scopus,2-s2.0-0015899810
"Mortimer, C.","7005009711;","The Cenozoic history of the southern Atacama Desert, Chile",1973,"Journal of the Geological Society","129","5",,"505","526",,110,"10.1144/gsjgs.129.5.0505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000772823&doi=10.1144%2fgsjgs.129.5.0505&partnerID=40&md5=98b029da9cb18df543158c5e144f2fdf",Article,"Final","",Scopus,2-s2.0-0000772823
"Fournier, J., Grange, J.L., Vergara, S.","7202900201;7202504930;24572011700;","Water desalination by natural freezing",1974,"Desalination","15","2",,"167","175",,18,"10.1016/S0011-9164(00)82080-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016116742&doi=10.1016%2fS0011-9164%2800%2982080-9&partnerID=40&md5=87fbd830b888bb20adf7f189ebe19b1f",Article,"Final","",Scopus,2-s2.0-0016116742
"Lloyd, J.W.","57199036681;","The Hydrogeology and Utilization of Brines in El Salado, Chile",1974,"Groundwater","12","2",,"72","77",,,"10.1111/j.1745-6584.1974.tb03003.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016035674&doi=10.1111%2fj.1745-6584.1974.tb03003.x&partnerID=40&md5=6d3cab17cc1c0c1b9b72917286f9cb5c",Article,"Final","",Scopus,2-s2.0-0016035674
"Noble, D.C., McKee, E.H., Farrar, E., Petersen, U.","7102287855;7006101498;7006838368;7003476034;","Episodic Cenozoic volcanism and tectonism in the Andes of Peru",1974,"Earth and Planetary Science Letters","21","2",,"213","220",,75,"10.1016/0012-821X(74)90057-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003240303&doi=10.1016%2f0012-821X%2874%2990057-0&partnerID=40&md5=296980887e576cd3bbcb365b7e9a05a3",Article,"Final","",Scopus,2-s2.0-0003240303
"Rye, R.O., Sawkins, F.J.","7005414162;35614399000;","Fluid inclusion and stable isotope studies on the casapalca Ag-Pb-Zn-Cu deposit, Central Andes, Peru",1974,"Economic Geology","69","2",,"181","205",,38,"10.2113/gsecongeo.69.2.181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000894574&doi=10.2113%2fgsecongeo.69.2.181&partnerID=40&md5=862e04bc87e92dbb29dc1ebf0e3db1e6",Review,"Final","",Scopus,2-s2.0-0000894574
"Landis, G.P., Rye, R.O.","7005253357;7005414162;","Geologic, fluid inclusion, and stable isotope studies of the Pasto Buena Tungsten-Base Metal Ore Deposit, Northern Peru",1974,"Economic Geology","69","7",,"1025","1059",,79,"10.2113/gsecongeo.69.7.1025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004615783&doi=10.2113%2fgsecongeo.69.7.1025&partnerID=40&md5=615cd9957af6de6ef94453d7e744e993",Article,"Final","",Scopus,2-s2.0-0004615783
"Gunn, B.M.","7005170903;","Systematic petrochemical differences in andesite suites",1974,"Bulletin Volcanologique","38","1",,"481","490",,5,"10.1007/BF02599419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-52449143434&doi=10.1007%2fBF02599419&partnerID=40&md5=6100772cb14b61e02ec01ca34a4f1f2f",Article,"Final","",Scopus,2-s2.0-52449143434
"Winterhalder, B., Larsen, R., Thomas, R.B.","6602383457;7402879810;15038762200;","Dung as an essential resource in a highland Peruvian community",1974,"Human Ecology","2","2",,"89","104",,62,"10.1007/BF01558115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016046119&doi=10.1007%2fBF01558115&partnerID=40&md5=2b40a8084418973807630c8f8f01ad05",Article,"Final","All Open Access, Green",Scopus,2-s2.0-0016046119
"Paulsen, A.C.","57011796400;","The thorny oyster and the voice of god: Spondylus and strombus in Andean prehistory",1974,"American Antiquity","39","4Part1",,"597","607",,85,"10.2307/278907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958608708&doi=10.2307%2f278907&partnerID=40&md5=47849d7bc5cf3f828c5753e112a5c06c",Review,"Final","",Scopus,2-s2.0-77958608708
"Plato, C.C., Garruto, R.M., Hoff, C., Baker, P.T.","7005646788;7006555656;7006621803;7402424331;","Digital and palmar dermatoglyphic patterns among Southern Peruvian Quechua",1974,"Human Biology","46","3",,"495","518",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016288419&partnerID=40&md5=2c8aa87b1a9259cd980c6ed369e04b1d",Article,"Final","",Scopus,2-s2.0-0016288419
"van OVERMEEREN, R.A.","6602138333;","A COMBINATION OF GRAVITY AND SEISMIC REFRACTION MEASUREMENTS, APPLIED TO GROUNDWATER EXPLORATIONS NEAR TALTAL, PROVINCE OF ANTOFAGASTA, CHILE",1975,"Geophysical Prospecting","23","2",,"248","258",,12,"10.1111/j.1365-2478.1975.tb01526.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016518946&doi=10.1111%2fj.1365-2478.1975.tb01526.x&partnerID=40&md5=591730893a4c77382690c72cb7c31cbb",Article,"Final","",Scopus,2-s2.0-0016518946
"Isaacson, P.E.","7102038269;","Evidence for a western extracontinental land source during the devonian period in the Central Andes",1975,"Bulletin of the Geological Society of America","86","1",,"39","46",,40,"10.1130/0016-7606(1975)86<39:EFAWEL>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001955195&doi=10.1130%2f0016-7606%281975%2986%3c39%3aEFAWEL%3e2.0.CO%3b2&partnerID=40&md5=47b008d814cc20b337100f17ae3cd760",Article,"Final","",Scopus,2-s2.0-0001955195
"Ueno, H., Arandia, R., Morales, G., Medina, G.","7401546262;55279070300;7102711680;7003694135;","Fascioliasis of livestock and snail host for Fasciola in the Altiplano Region of Bolivia.",1975,"National Institute of Animal Health quarterly","15","2",,"61","67",,41,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016513523&partnerID=40&md5=96895e25d73c895beadc4c1f38ffc4dc",Article,"Final","",Scopus,2-s2.0-0016513523
"Pollard, G.C., Drew, I.M.","23081131800;23084735200;","Llama herding and settlement in prehispanic Northern Chile: Application of an analysis for determining domestication",1975,"American Antiquity","40","3",,"296","305",,13,"10.2307/279691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649178537&doi=10.2307%2f279691&partnerID=40&md5=f3670891541fafef8129849e6b1d7c69",Article,"Final","",Scopus,2-s2.0-77649178537
"Garruto, R.M., Hoff, C., Baker, P.T., Jacobi, H.J.","7006555656;7006621803;7402424331;7101955110;","Phenotypic variation in ABO and Rh blood groups, PTC tasting ability, and lingual rotation among southern Peruvian Quechua Indians",1975,"Human Biology","47","3",,"193","199",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016765838&partnerID=40&md5=43086bdb1cfa4af06412ba3aa931ad71",Article,"Final","",Scopus,2-s2.0-0016765838
"Armijo, R., Coulson, A.H.","57209405032;7101637811;","Epidemiology of stomach cancer in Chile - the role of nitrogen fertilizers",1975,"International Journal of Epidemiology","4","4",,"301","309",,67,"10.1093/ije/4.4.301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016757578&doi=10.1093%2fije%2f4.4.301&partnerID=40&md5=79bd8c8c0cd682152580ce76595c5b88",Article,"Final","",Scopus,2-s2.0-0016757578
"Santiago, C.M., Rendic, N.S.","16514443600;16515024100;","Cenozoic studies in northernmost Chile",1975,"Geologische Rundschau","64","1",,"395","420",,52,"10.1007/BF01820676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000146088&doi=10.1007%2fBF01820676&partnerID=40&md5=9a8cfbc670f7a7c32792671ccba4ae5c",Article,"Final","",Scopus,2-s2.0-0000146088
"Hurlbert, S.H., Berry, R.W., Lopez, M., Pezzani, S.","6701603486;7401995233;57214375849;57204373468;","Lago Verde and Lago Flaco: Gypsum‐bound lakes of the Chilean altiplano",1976,"Limnology and Oceanography","21","5",,"637","645",,2,"10.4319/lo.1976.21.5.0637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986840428&doi=10.4319%2flo.1976.21.5.0637&partnerID=40&md5=944c78147c1849604bd57dbc3d3ed775",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84986840428
"Lechtman, H.","6508097462;","A metallurgical site survey in the Peruvian Andes",1976,"Journal of Field Archaeology","3","1",,"1","42",,48,"10.1179/009346976791547995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976684035&doi=10.1179%2f009346976791547995&partnerID=40&md5=67554c04d0a32dab0b073b108dad3017",Article,"Final","",Scopus,2-s2.0-84976684035
"Pires-Ferreira, J.W., Pires-Ferreira, E., Kaulicke, P.","23080954400;23081012200;6507478352;","Preceramic animal utilization in the Central Peruvian Andes",1976,"Science","194","4264",,"483","490",,58,"10.1126/science.194.4264.483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37049187501&doi=10.1126%2fscience.194.4264.483&partnerID=40&md5=19d70a78d89a8bcfec271efaf9681687",Review,"Final","",Scopus,2-s2.0-37049187501
"Megard, F., Philip, H.","6602763707;57196233435;","Plio-Quaternary tectono-magmatic zonation and plate tectonics in the Central Andes",1976,"Earth and Planetary Science Letters","33","2",,"231","238",,32,"10.1016/0012-821X(76)90229-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0010811509&doi=10.1016%2f0012-821X%2876%2990229-6&partnerID=40&md5=4343bd09ac62dcc9068d7904f54ab5d9",Article,"Final","",Scopus,2-s2.0-0010811509
